[2026-09-17 10:05:38] acceptance still running; last=API_REJECTED:POST:/runtime/node/toolchains:400:NODE_PNPM_VERSION_UNSUPPORTED
[2026-09-17 10:05:53] acceptance still running; last=API_REJECTED:POST:/runtime/node/toolchains:400:NODE_PNPM_VERSION_UNSUPPORTED
[2026-09-17 10:06:08] acceptance still running; last=API_REJECTED:POST:/runtime/node/toolchains:400:NODE_PNPM_VERSION_UNSUPPORTED
[2026-09-17 10:06:23] acceptance still running; last=API_REJECTED:POST:/runtime/node/toolchains:400:NODE_PNPM_VERSION_UNSUPPORTED
[2026-09-17 10:06:38] acceptance still running; last=API_REJECTED:POST:/runtime/node/toolchains:400:NODE_PNPM_VERSION_UNSUPPORTED
[2026-09-17 10:06:53] acceptance still running; last=API_REJECTED:POST:/runtime/node/toolchains:400:NODE_PNPM_VERSION_UNSUPPORTED
[2026-09-17 10:07:08] acceptance still running; last=API_REJECTED:POST:/runtime/node/toolchains:400:NODE_PNPM_VERSION_UNSUPPORTED
[2026-09-17 10:07:23] acceptance still running; last=API_REJECTED:POST:/runtime/node/toolchains:400:NODE_PNPM_VERSION_UNSUPPORTED
[2026-09-17 10:07:38] acceptance still running; last=API_REJECTED:POST:/runtime/node/toolchains:400:NODE_PNPM_VERSION_UNSUPPORTED
[2026-09-17 10:07:54] acceptance still running; last=API_REJECTED:POST:/runtime/node/toolchains:400:NODE_PNPM_VERSION_UNSUPPORTED
[2026-09-17 10:08:09] acceptance still running; last=API_REJECTED:POST:/runtime/node/toolchains:400:NODE_PNPM_VERSION_UNSUPPORTED
[2026-09-17 10:08:24] acceptance still running; last=API_REJECTED:POST:/runtime/node/toolchains:400:NODE_PNPM_VERSION_UNSUPPORTED
[2026-09-17 10:08:39] acceptance still running; last=API_REJECTED:POST:/runtime/node/toolchains:400:NODE_PNPM_VERSION_UNSUPPORTED
[2026-09-17 10:08:54] acceptance still running; last=API_REJECTED:POST:/runtime/node/toolchains:400:NODE_PNPM_VERSION_UNSUPPORTED
[2026-09-17 10:09:09] acceptance still running; last=API_REJECTED:POST:/runtime/node/toolchains:400:NODE_PNPM_VERSION_UNSUPPORTED
[2026-09-17 10:09:24] acceptance still running; last=API_REJECTED:POST:/runtime/node/toolchains:400:NODE_PNPM_VERSION_UNSUPPORTED
[2026-09-17 10:09:39] acceptance still running; last=API_REJECTED:POST:/runtime/node/toolchains:400:NODE_PNPM_VERSION_UNSUPPORTED
[2026-09-17 10:09:54] acceptance still running; last=API_REJECTED:POST:/runtime/node/toolchains:400:NODE_PNPM_VERSION_UNSUPPORTED
[2026-09-17 10:10:09] acceptance still running; last=API_REJECTED:POST:/runtime/node/toolchains:400:NODE_PNPM_VERSION_UNSUPPORTED
[2026-09-17 10:10:24] acceptance still running; last=API_REJECTED:POST:/runtime/node/toolchains:400:NODE_PNPM_VERSION_UNSUPPORTED
[2026-09-17 10:10:39] acceptance still running; last=API_REJECTED:POST:/runtime/node/toolchains:400:NODE_PNPM_VERSION_UNSUPPORTED
[2026-09-17 10:10:54] acceptance still running; last=API_REJECTED:POST:/runtime/node/toolchains:400:NODE_PNPM_VERSION_UNSUPPORTED
[2026-09-17 10:11:09] acceptance still running; last=API_REJECTED:POST:/runtime/node/toolchains:400:NODE_PNPM_VERSION_UNSUPPORTED
[2026-09-17 10:11:24] acceptance still running; last=API_REJECTED:POST:/runtime/node/toolchains:400:NODE_PNPM_VERSION_UNSUPPORTED
[2026-09-17 10:11:40] acceptance still running; last=API_REJECTED:POST:/runtime/node/toolchains:400:NODE_PNPM_VERSION_UNSUPPORTED
[2026-09-17 10:11:55] acceptance still running; last=API_REJECTED:POST:/runtime/node/toolchains:400:NODE_PNPM_VERSION_UNSUPPORTED
[2026-09-17 10:12:10] acceptance still running; last=API_REJECTED:POST:/runtime/node/toolchains:400:NODE_PNPM_VERSION_UNSUPPORTED
[2026-09-17 10:12:25] acceptance still running; last=API_REJECTED:POST:/runtime/node/toolchains:400:NODE_PNPM_VERSION_UNSUPPORTED
[2026-09-17 10:12:40] acceptance still running; last=API_REJECTED:POST:/runtime/node/toolchains:400:NODE_PNPM_VERSION_UNSUPPORTED
[2026-09-17 10:12:55] acceptance still running; last=API_REJECTED:POST:/runtime/node/toolchains:400:NODE_PNPM_VERSION_UNSUPPORTED
[2026-09-17 10:13:10] acceptance still running; last=API_REJECTED:POST:/runtime/node/toolchains:400:NODE_PNPM_VERSION_UNSUPPORTED
[2026-09-17 10:13:25] acceptance still running; last=API_REJECTED:POST:/runtime/node/toolchains:400:NODE_PNPM_VERSION_UNSUPPORTED
[2026-09-17 10:13:40] acceptance still running; last=API_REJECTED:POST:/runtime/node/toolchains:400:NODE_PNPM_VERSION_UNSUPPORTED
[2026-09-17 10:13:55] acceptance still running; last=API_REJECTED:POST:/runtime/node/toolchains:400:NODE_PNPM_VERSION_UNSUPPORTED
[2026-09-17 10:14:11] 完整验收结束：status=FAIL, cleanup=PASS
